frame,time,backbone,pair_sidechains
700,70.0000,0.9228,0.8954
701,70.1000,0.9310,0.8324
702,70.2000,0.9365,0.6926
703,70.3000,0.9475,0.6944
704,70.4000,0.9423,0.7640
705,70.5000,0.9437,0.7832
706,70.6000,0.9474,0.7205
707,70.7000,0.9412,0.7030
708,70.8000,0.9391,0.5053
709,70.9000,0.9408,0.6908
710,71.0000,0.9375,0.8161
711,71.1000,0.9385,0.6657
712,71.2000,0.9374,0.6355
713,71.3000,0.9423,0.6134
714,71.4000,0.9442,0.6429
715,71.5000,0.9453,0.6567
716,71.6000,0.9390,0.5889
717,71.7000,0.9318,0.5941
718,71.8000,0.9269,0.5802
719,71.9000,0.9260,0.6467
720,72.0000,0.9153,0.6583
721,72.1000,0.9215,0.7279
722,72.2000,0.9402,0.7187
723,72.3000,0.9411,0.8136
724,72.4000,0.9333,0.8180
725,72.5000,0.9279,0.7725
726,72.6000,0.9155,0.7646
727,72.7000,0.9200,0.6685
728,72.8000,0.9309,0.7587
729,72.9000,0.9369,0.9429
730,73.0000,0.9494,0.8360
731,73.1000,0.9548,0.9107
732,73.2000,0.9540,0.9936
733,73.3000,0.9652,0.8678
734,73.4000,0.9573,0.9555
735,73.5000,0.9545,0.9267
736,73.6000,0.9547,0.7827
737,73.7000,0.9564,0.8930
738,73.8000,0.9573,1.0108
739,73.9000,0.9579,0.9687
740,74.0000,0.9579,0.8938
741,74.1000,0.9462,1.0068
742,74.2000,0.9435,0.9436
743,74.3000,0.9481,0.8311
744,74.4000,0.9364,0.6921
745,74.5000,0.9206,0.8161
746,74.6000,0.9168,0.7359
747,74.7000,0.9081,0.7170
748,74.8000,0.9022,0.7291
749,74.9000,0.9005,0.8297
750,75.0000,0.9037,0.9468
751,75.1000,0.9099,0.9894
752,75.2000,0.8970,0.9806
753,75.3000,0.8925,0.8090
754,75.4000,0.8814,0.8202
755,75.5000,0.8916,0.8714
756,75.6000,0.9005,0.9443
757,75.7000,0.9187,0.9487
758,75.8000,0.9370,0.8421
759,75.9000,0.9562,0.8130
760,76.0000,0.9749,0.7827
761,76.1000,0.9852,0.7169
762,76.2000,0.9859,0.7216
763,76.3000,0.9829,0.8074
764,76.4000,0.9797,0.8978
765,76.5000,0.9844,0.8721
766,76.6000,0.9957,0.8294
767,76.7000,1.0049,0.8851
768,76.8000,1.0134,0.7754
769,76.9000,1.0047,0.7242
770,77.0000,1.0005,0.6554
771,77.1000,0.9932,0.6115
772,77.2000,0.9930,0.6993
773,77.3000,0.9836,0.7896
774,77.4000,0.9855,0.7472
775,77.5000,0.9893,1.0342
776,77.6000,1.0010,0.9385
777,77.7000,1.0125,0.8335
778,77.8000,1.0212,0.8609
779,77.9000,1.0284,0.7809
780,78.0000,1.0329,0.7491
781,78.1000,1.0298,0.7989
782,78.2000,1.0357,0.9012
783,78.3000,1.0340,0.9083
784,78.4000,1.0396,1.0694
785,78.5000,1.0417,0.9985
786,78.6000,1.0378,1.0473
787,78.7000,1.0235,0.8103
788,78.8000,1.0098,0.8280
789,78.9000,1.0025,0.9211
790,79.0000,1.0049,0.8036
791,79.1000,1.0099,0.7919
792,79.2000,1.0092,0.7644
793,79.3000,1.0110,0.7934
794,79.4000,1.0204,0.8935
795,79.5000,1.0326,0.9719
796,79.6000,1.0463,0.9079
797,79.7000,1.0473,1.0287
798,79.8000,1.0277,1.0336
799,79.9000,1.0263,1.0154
800,80.0000,1.0244,0.9937
801,80.1000,1.0156,0.8830
802,80.2000,1.0189,0.8335
803,80.3000,1.0179,0.8185
804,80.4000,1.0121,0.9550
805,80.5000,1.0078,0.9372
806,80.6000,1.0021,0.8010
807,80.7000,1.0003,0.9084
808,80.8000,1.0112,0.9419
809,80.9000,1.0151,0.8189
810,81.0000,0.9967,0.8160
811,81.1000,0.9839,0.8208
812,81.2000,0.9842,0.7621
813,81.3000,0.9748,0.7891
814,81.4000,0.9747,0.8229
815,81.5000,0.9767,0.9796
816,81.6000,0.9831,0.8528
817,81.7000,0.9934,0.8921
