frame,time,a_Ow_H2_OD2,a_Ow_HH12_OD2
692,69.2000,167.1344,67.8609
693,69.3000,150.3162,68.9635
694,69.4000,147.1567,76.8442
695,69.5000,175.5796,59.1082
696,69.6000,158.4630,65.7601
697,69.7000,145.3990,79.6634
698,69.8000,125.0432,56.8239
699,69.9000,148.1305,73.8015
700,70.0000,146.0631,61.8411
701,70.1000,168.5665,55.3395
702,70.2000,159.0778,69.5265
703,70.3000,165.8040,60.9604
704,70.4000,154.6032,60.1550
705,70.5000,144.4497,65.6357
706,70.6000,175.8128,59.6546
707,70.7000,141.6333,53.1094
708,70.8000,159.0262,66.3334
709,70.9000,158.7811,58.7057
710,71.0000,166.2934,57.8826
711,71.1000,155.4071,73.6182
712,71.2000,152.9485,65.5938
713,71.3000,150.2388,72.7089
714,71.4000,162.3360,56.9334
715,71.5000,168.1142,60.5676
716,71.6000,168.4381,61.4012
717,71.7000,170.6116,61.3000
718,71.8000,163.1781,60.1229
719,71.9000,164.7119,60.6778
720,72.0000,158.8220,62.8368
721,72.1000,163.5429,60.5465
722,72.2000,168.4528,60.0156
723,72.3000,156.3711,61.3862
724,72.4000,163.7444,58.1318
725,72.5000,152.3537,81.1472
726,72.6000,156.8444,66.2827
727,72.7000,163.0188,39.2997
728,72.8000,170.6187,61.6383
729,72.9000,162.3802,64.7168
730,73.0000,143.9353,69.3201
731,73.1000,165.3834,58.7691
732,73.2000,144.4284,71.1391
733,73.3000,165.6130,46.0366
734,73.4000,159.4518,73.1335
735,73.5000,148.3321,69.8537
736,73.6000,161.2751,61.9196
737,73.7000,167.8934,56.3592
738,73.8000,156.1732,69.5448
739,73.9000,151.3442,64.7220
740,74.0000,141.6557,69.2274
741,74.1000,161.1924,72.9218
742,74.2000,161.1735,47.6041
743,74.3000,128.9102,78.5220
744,74.4000,138.4405,69.0241
745,74.5000,154.4853,66.8474
746,74.6000,166.8251,56.2721
747,74.7000,156.1959,64.8998
748,74.8000,169.1810,55.0555
749,74.9000,171.7310,62.0316
750,75.0000,156.2000,59.2319
751,75.1000,165.8315,61.9010
752,75.2000,160.8839,59.6538
753,75.3000,146.5948,73.3283
754,75.4000,162.5012,64.8661
755,75.5000,163.4664,59.6392
756,75.6000,170.2758,62.9036
757,75.7000,146.8799,73.6366
758,75.8000,168.6693,60.3834
759,75.9000,138.6401,58.5151
760,76.0000,161.0350,62.5231
761,76.1000,156.0091,63.8547
762,76.2000,152.8084,61.5173
763,76.3000,169.3463,60.7121
764,76.4000,158.4736,61.5674
765,76.5000,149.5888,65.2448
766,76.6000,160.3952,68.8640
767,76.7000,171.5040,56.3487
768,76.8000,115.7278,84.3084
769,76.9000,151.1455,59.4280
770,77.0000,158.2212,63.1267
771,77.1000,142.3316,62.5185
772,77.2000,157.1924,56.4586
773,77.3000,176.5100,58.7235
774,77.4000,128.8003,71.8109
775,77.5000,140.5013,73.1112
776,77.6000,172.3232,60.3799
777,77.7000,144.5777,67.8637
778,77.8000,153.7822,57.5538
779,77.9000,144.8925,65.9352
780,78.0000,173.9566,54.8782
781,78.1000,162.6954,62.2343
782,78.2000,160.5942,67.5804
783,78.3000,168.9422,63.9955
784,78.4000,162.9803,58.9925
785,78.5000,149.5341,56.3264
786,78.6000,147.8055,68.3195
787,78.7000,154.6441,64.8822
788,78.8000,161.1089,49.8913
789,78.9000,161.3277,77.6560
790,79.0000,169.2430,52.5837
791,79.1000,170.8805,64.2017
792,79.2000,141.9978,58.1733
793,79.3000,154.2899,55.6921
794,79.4000,151.0810,75.0139
795,79.5000,142.5253,72.7751
796,79.6000,141.1702,71.1757
797,79.7000,149.0813,75.8351
798,79.8000,155.8667,61.2743
799,79.9000,154.7056,57.2492
800,80.0000,129.2822,72.4260
801,80.1000,161.6596,64.9891
802,80.2000,151.3460,68.7331
803,80.3000,150.7355,68.9649
804,80.4000,154.0932,66.7779
805,80.5000,160.7307,63.0581
806,80.6000,178.3979,63.1726
807,80.7000,156.2441,71.6205
808,80.8000,160.1620,63.3073
809,80.9000,158.6378,72.3360
810,81.0000,156.6797,61.1506
811,81.1000,167.9936,67.8883
812,81.2000,151.1116,60.2318
813,81.3000,140.6229,72.7564
