d_HH12_Ow,d_HH12_NH1,density,free_energy
0.9344,6.3680,0.0000,
0.9405,6.3680,0.0000,
0.9467,6.3680,0.0000,
0.9528,6.3680,0.0000,
0.9590,6.3680,0.0000,
0.9652,6.3680,0.0000,
0.9713,6.3680,0.0000,
0.9775,6.3680,1.3095,1.9649
0.9836,6.3680,0.0000,
0.9898,6.3680,0.0000,
0.9960,6.3680,0.0000,
1.0021,6.3680,0.0000,
1.0083,6.3680,0.0000,
1.0144,6.3680,0.0000,
1.0206,6.3680,0.0000,
1.0267,6.3680,0.0000,
1.0329,6.3680,0.0000,
1.0391,6.3680,0.0000,
0.9097,6.4920,0.0000,
0.9159,6.4920,0.0000,
0.9221,6.4920,0.0000,
0.9282,6.4920,0.0000,
0.9344,6.4920,0.0000,
0.9405,6.4920,0.0000,
0.9467,6.4920,0.0000,
0.9528,6.4920,0.0000,
0.9590,6.4920,0.0000,
0.9652,6.4920,0.0000,
0.9713,6.4920,0.0000,
0.9775,6.4920,0.0000,
0.9836,6.4920,0.0000,
0.9898,6.4920,0.0000,
0.9960,6.4920,1.3095,1.9649
1.0021,6.4920,0.0000,
1.0083,6.4920,0.0000,
1.0144,6.4920,0.0000,
1.0206,6.4920,0.0000,
1.0267,6.4920,0.0000,
1.0329,6.4920,0.0000,
1.0391,6.4920,0.0000,
0.9097,6.6160,0.0000,
0.9159,6.6160,0.0000,
0.9221,6.6160,0.0000,
0.9282,6.6160,0.0000,
0.9344,6.6160,0.0000,
0.9405,6.6160,0.0000,
0.9467,6.6160,0.0000,
0.9528,6.6160,0.0000,
0.9590,6.6160,0.0000,
0.9652,6.6160,0.0000,
0.9713,6.6160,0.0000,
0.9775,6.6160,0.0000,
0.9836,6.6160,0.0000,
0.9898,6.6160,0.0000,
0.9960,6.6160,0.0000,
1.0021,6.6160,0.0000,
1.0083,6.6160,0.0000,
1.0144,6.6160,0.0000,
1.0206,6.6160,0.0000,
1.0267,6.6160,0.0000,
1.0329,6.6160,0.0000,
1.0391,6.6160,0.0000,
0.9097,6.7400,0.0000,
0.9159,6.7400,0.0000,
0.9221,6.7400,0.0000,
0.9282,6.7400,0.0000,
0.9344,6.7400,0.0000,
0.9405,6.7400,0.0000,
0.9467,6.7400,0.0000,
0.9528,6.7400,0.0000,
0.9590,6.7400,0.0000,
0.9652,6.7400,0.0000,
0.9713,6.7400,0.0000,
0.9775,6.7400,0.0000,
0.9836,6.7400,0.0000,
0.9898,6.7400,0.0000,
0.9960,6.7400,0.0000,
1.0021,6.7400,0.0000,
1.0083,6.7400,0.0000,
1.0144,6.7400,0.0000,
1.0206,6.7400,0.0000,
1.0267,6.7400,0.0000,
1.0329,6.7400,0.0000,
1.0391,6.7400,0.0000,
0.9097,6.8640,0.0000,
0.9159,6.8640,0.0000,
0.9221,6.8640,0.0000,
0.9282,6.8640,0.0000,
0.9344,6.8640,0.0000,
0.9405,6.8640,0.0000,
0.9467,6.8640,0.0000,
0.9528,6.8640,0.0000,
0.9590,6.8640,0.0000,
0.9652,6.8640,1.3095,1.9649
0.9713,6.8640,1.3095,1.9649
0.9775,6.8640,0.0000,
0.9836,6.8640,0.0000,
0.9898,6.8640,0.0000,
0.9960,6.8640,0.0000,
1.0021,6.8640,0.0000,
1.0083,6.8640,0.0000,
1.0144,6.8640,0.0000,
1.0206,6.8640,0.0000,
1.0267,6.8640,0.0000,
1.0329,6.8640,0.0000,
1.0391,6.8640,0.0000,
