frame,time,cluster,rmsd_to_medoid
882,88.2000,1,0.2558
883,88.3000,1,0.3834
884,88.4000,1,0.2151
885,88.5000,1,0.2582
886,88.6000,1,0.2394
887,88.7000,1,0.2729
888,88.8000,1,0.2009
889,88.9000,1,0.2253
890,89.0000,1,0.2574
891,89.1000,1,0.1460
892,89.2000,1,0.3159
893,89.3000,1,0.3406
894,89.4000,1,0.2533
895,89.5000,1,0.2221
896,89.6000,1,0.1707
897,89.7000,1,0.1893
898,89.8000,1,0.2654
899,89.9000,1,0.1120
900,90.0000,1,0.2092
901,90.1000,1,0.1568
902,90.2000,1,0.1187
903,90.3000,1,0.0000
904,90.4000,1,0.1750
905,90.5000,1,0.2454
906,90.6000,1,0.2393
907,90.7000,1,0.2380
908,90.8000,1,0.1653
909,90.9000,1,0.1519
910,91.0000,1,0.1667
911,91.1000,1,0.2896
912,91.2000,1,0.2470
913,91.3000,1,0.2084
914,91.4000,1,0.2396
915,91.5000,1,0.2756
916,91.6000,1,0.2144
917,91.7000,1,0.1837
918,91.8000,1,0.2334
919,91.9000,1,0.1875
920,92.0000,1,0.2449
921,92.1000,1,0.1693
922,92.2000,1,0.2013
923,92.3000,1,0.0775
924,92.4000,1,0.2039
925,92.5000,1,0.2596
926,92.6000,1,0.1519
927,92.7000,1,0.1758
928,92.8000,1,0.1587
929,92.9000,1,0.1525
930,93.0000,1,0.2716
931,93.1000,1,0.1504
932,93.2000,1,0.2838
933,93.3000,1,0.2590
934,93.4000,1,0.1396
935,93.5000,1,0.1787
936,93.6000,1,0.2061
937,93.7000,1,0.1982
938,93.8000,1,0.4182
939,93.9000,1,0.2734
940,94.0000,1,0.3497
941,94.1000,1,0.3278
942,94.2000,1,0.2073
943,94.3000,1,0.2475
944,94.4000,1,0.2745
945,94.5000,1,0.1112
946,94.6000,1,0.2572
947,94.7000,1,0.2769
948,94.8000,1,0.1682
949,94.9000,1,0.2463
950,95.0000,1,0.1809
951,95.1000,1,0.2593
952,95.2000,1,0.2788
953,95.3000,1,0.3015
954,95.4000,1,0.1927
955,95.5000,1,0.2847
956,95.6000,1,0.3403
957,95.7000,1,0.1008
958,95.8000,1,0.1568
959,95.9000,1,0.1622
960,96.0000,1,0.2117
961,96.1000,1,0.2266
962,96.2000,1,0.2627
963,96.3000,1,0.3120
964,96.4000,1,0.1749
965,96.5000,1,0.1322
966,96.6000,1,0.2126
967,96.7000,1,0.2010
968,96.8000,1,0.2352
969,96.9000,1,0.3057
970,97.0000,1,0.2673
971,97.1000,1,0.1592
972,97.2000,1,0.2965
973,97.3000,1,0.4192
974,97.4000,1,0.2720
975,97.5000,1,0.3489
976,97.6000,1,0.3355
977,97.7000,1,0.2583
978,97.8000,1,0.3120
979,97.9000,1,0.4028
980,98.0000,1,0.2550
981,98.1000,1,0.3267
982,98.2000,1,0.2670
983,98.3000,1,0.2023
984,98.4000,1,0.2435
985,98.5000,1,0.3029
986,98.6000,1,0.3833
987,98.7000,1,0.3759
988,98.8000,1,0.2446
989,98.9000,1,0.2212
990,99.0000,1,0.2610
991,99.1000,1,0.3246
